country,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number)
Afghanistan,1847.222407181165
Albania,259.98379621264456
Algeria,2267.8219306919696
American Samoa,5.009707325922624
Andean Latin America,8606.902720064472
Andorra,9.091886124624034
Angola,3437.00981891408
Antigua and Barbuda,9.262355169208865
Argentina,5944.550281449513
Armenia,759.8671984503578
Australasia,1779.3579799573047
Australasia & Oceania,
Australia,1546.764578049014
Austria,2062.85402983593
Azerbaijan,2483.134412053207
Bahamas,42.724134502556694
Bahrain,52.45748737977352
Bangladesh,24495.381915126112
Barbados,34.21196323454496
Belarus,2080.992602302997
Belgium,1824.2738745105678
Belize,34.48390482565317
Benin,1131.3006343577574
Bermuda,7.204175650631339
Bhutan,128.02257868090845
Bolivia,1645.5819619334663
Bosnia and Herzegovina,659.2378407456163
Bosnia-Herzegovina,
Botswana,148.56958035210408
Brazil,27946.318235567258
Brunei,17.942791903166302
Bulgaria,1958.3273574373538
Burkina Faso,2045.2694203301892
Burundi,1733.4834995797132
Cambodia,6508.510842123046
Cameroon,3399.2195668587055
Canada,3716.730208009318
Cape Verde,64.86198411072688
Caribbean,6069.7418688497955
Central African Republic,616.1101051063451
Central America & Caribbean,
Central Asia,22793.6106951755
Central Europe,33790.20752677885
"Central Europe, Eastern Europe, and Central Asia",120726.80294076771
Central Latin America,43659.83392670092
Central Sub-Saharan Africa,14432.528045786035
Chad,1427.5538463890919
Chile,4003.074247831409
China,149530.85344521163
Colombia,2884.914799179864
Comoros,63.86574736163588
Congo,735.3976580376369
Costa Rica,554.4745312974381
Cote d'Ivoire,3084.1606867825053
Croatia,1454.535987997202
Cuba,1392.27393760005
Cyprus,106.97713877229467
Czechia,2143.0365954987483
Czechoslovakia,
Democratic Republic of Congo,9186.142474279803
Denmark,985.2574329475805
Djibouti,87.87964794312866
Dominica,8.902256971278664
Dominican Republic,1429.370362272162
East Asia,162285.931384202
East Germany (GDR),
East Timor,
Eastern Europe,64142.98471881339
Eastern Sub-Saharan Africa,49474.441357115385
Ecuador,2332.2207826479125
Egypt,34236.90964842969
El Salvador,1166.208095912556
England,5884.009975373657
Equatorial Guinea,98.59236423159255
Eritrea,927.5306807651314
Estonia,276.07536048079976
Eswatini,144.14120560438104
Ethiopia,13471.547805966286
Fiji,50.193563097681825
Finland,952.2073336125671
France,11564.935032177655
French Guiana,
French Polynesia,
Gabon,359.2756252165779
Gambia,206.64308623976422
Georgia,1283.4486965615565
Germany,20856.492739862857
Ghana,3607.9818330388403
Greece,1340.3775108987213
Greenland,5.586196176806254
Grenada,14.317096625935955
Guadeloupe,
Guam,27.666042312333314
Guatemala,3052.022709212995
Guinea,1596.4298758438713
Guinea-Bissau,235.08339499552935
Guyana,163.55952095000677
Haiti,1263.6871203089256
High SDI,183090.96806022982
High-income,172033.78730929922
High-income Asia Pacific,33705.51596173507
High-middle SDI,188806.52082851744
Honduras,1621.4094668558207
Hong Kong,
Hungary,5548.818307904178
Iceland,13.837610613795006
India,155748.72483730043
Indonesia,72581.05045780688
International,
Iran,3838.053113670666
Iraq,1150.5005351273771
Ireland,304.58680794897583
Israel,572.9123874707807
Italy,13556.155322680035
Jamaica,169.31268741419817
Japan,22284.44192243306
Jordan,288.4383336278887
Kazakhstan,4663.767258072073
Kenya,8122.705512015383
Kiribati,14.541414372327823
Kosovo,
Kuwait,89.57515276871628
Kyrgyzstan,1795.1201884446834
Laos,1218.111415345539
Latin America and Caribbean,86774.42643956027
Latvia,417.06480404846553
Lebanon,362.84538887328614
Lesotho,219.58362468222143
Liberia,664.8830198981104
Libya,410.3007106168879
Lithuania,822.4614455057716
Low SDI,139944.69595493338
Low-middle SDI,288572.3741730126
Luxembourg,89.79283086106149
Macau,
Madagascar,2500.3741962181493
Malawi,2814.3084430849035
Malaysia,2250.894045083505
Maldives,13.295465447597891
Mali,1803.890595110969
Malta,38.0570592746288
Marshall Islands,7.597530418231133
Martinique,
Mauritania,385.3614724977523
Mauritius,280.90586414290436
Mexico,30678.82101053238
Micronesia (country),14.473170337338896
Middle East & North Africa,
Middle SDI,300708.5496678943
Moldova,3414.1996294427768
Mongolia,981.3546039352635
Montenegro,44.23669308779246
Morocco,2572.2040998854395
Mozambique,2279.4292531053547
Myanmar,20468.479324201646
Namibia,168.0751818322852
Nepal,4176.467206958294
Netherlands,1607.7865406368426
New Caledonia,
New Zealand,232.59340190829053
Nicaragua,772.4593923499432
Niger,1267.4617427287392
Nigeria,41993.384398912094
North Africa and Middle East,59824.76797762013
North America,49083.09612374889
North Korea,3811.592947633539
North Macedonia,189.89096087349125
Northern Ireland,177.77204036625866
Northern Mariana Islands,6.8901780077438985
Norway,351.0006054405718
Oceania,1275.8932673861223
Oman,114.09961885890802
Pakistan,33913.7753124394
Palestine,159.69499354920694
Panama,305.52700209506804
Papua New Guinea,933.2529211645355
Paraguay,491.6296883778474
Peru,4629.099975483095
Philippines,8174.411778406759
Poland,7250.476971297372
