country,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number)
Afghanistan,97.59778050588189
Albania,11.93229306302292
Algeria,101.42704922556914
American Samoa,0.3253055790020336
Andean Latin America,1146.9600990012946
Andorra,1.4244887516227818
Angola,195.66640585995702
Antigua and Barbuda,4.655480037396403
Argentina,936.6125923311541
Armenia,89.31148510945354
Australasia,479.3993702364448
Australasia & Oceania,
Australia,432.9722806771517
Austria,369.0104621776979
Azerbaijan,271.27907523813093
Bahamas,14.2842365693195
Bahrain,5.887256160156725
Bangladesh,204.11603251229778
Barbados,5.81002397377416
Belarus,2580.928058914786
Belgium,388.6375086436556
Belize,5.782181175368658
Benin,85.36636450272364
Bermuda,0.8413844621095775
Bhutan,8.21080274848734
Bolivia,260.59739334174316
Bosnia and Herzegovina,216.45105913083998
Bosnia-Herzegovina,
Botswana,22.31245986780169
Brazil,7677.315171417968
Brunei,1.0495769700247648
Bulgaria,154.32965500175274
Burkina Faso,168.5697374397378
Burundi,90.90467554843032
Cambodia,139.1039215625716
Cameroon,232.9680503575635
Canada,951.1708613544739
Cape Verde,5.422486534781983
Caribbean,1091.235622022831
Central African Republic,60.16800235157348
Central America & Caribbean,
Central Asia,3297.5767897648143
Central Europe,7502.832275780398
"Central Europe, Eastern Europe, and Central Asia",67698.26899627579
Central Latin America,7697.12113519681
Central Sub-Saharan Africa,931.5840862646236
Chad,75.72098254999408
Chile,532.9113821061463
China,14928.269328596436
Colombia,88.67568460452897
Comoros,5.855335931193251
Congo,57.47876498312724
Costa Rica,71.94503215548124
Cote d'Ivoire,223.07948554007362
Croatia,254.4036077658318
Cuba,402.297895723693
Cyprus,6.534597714893374
Czechia,378.1357742569904
Czechoslovakia,
Democratic Republic of Congo,586.214246683753
Denmark,645.4416201428376
Djibouti,8.336252990826337
Dominica,3.323538739447872
Dominican Republic,129.35868348551568
East Asia,15731.531572825786
East Germany (GDR),
East Timor,
Eastern Europe,56897.85993073056
Eastern Sub-Saharan Africa,2868.4528732725917
Ecuador,436.2989458890934
Egypt,137.42551344027999
El Salvador,944.5966158405644
