,country,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Unnamed: 0,Unnamed: 0.1,beer mean
0,Albania,259.98379621264456,0,Albania,0.8672413793103451
1,Andorra,9.091886124624033,1,Andorra,3.1050000000000004
2,Armenia,759.8671984503578,2,Armenia,0.3133333333333333
3,Austria,2062.8540298359303,3,Austria,6.471666666666668
4,Azerbaijan,2483.134412053207,4,Azerbaijan,0.34999999999999976
5,Belarus,2080.992602302997,5,Belarus,1.9062500000000004
6,Belgium,1824.273874510568,6,Belgium,6.784210526315789
7,Bosnia and Herzegovina,659.2378407456163,7,Bosnia and Herzegovina,2.8933333333333326
8,Bulgaria,1958.3273574373536,8,Bulgaria,3.4315789473684206
9,Croatia,1454.5359879972023,9,Croatia,4.5272727272727264
10,Cyprus,106.9771387722947,10,Cyprus,2.7423728813559323
11,Czechia,2143.0365954987483,11,Czechia,7.210169491525423
12,Denmark,985.2574329475805,12,Denmark,6.2152542372881365
13,Estonia,276.07536048079976,13,Estonia,4.6800000000000015
14,Finland,952.2073336125673,14,Finland,3.715254237288135
15,France,11564.935032177656,15,France,2.725423728813559
16,Georgia,1283.4486965615565,16,Georgia,1.2733333333333334
17,Germany,20856.492739862857,17,Germany,7.837288135593218
18,Greece,1340.3775108987213,18,Greece,2.464912280701755
19,Hungary,5548.818307904178,19,Hungary,4.738983050847458
20,Iceland,13.837610613795006,20,Iceland,2.371186440677966
21,Ireland,304.58680794897583,21,Ireland,7.664912280701755
22,Israel,572.9123874707807,22,Israel,1.4576271186440664
23,Italy,13556.155322680037,23,Italy,1.666101694915255
24,Kazakhstan,4663.767258072073,24,Kazakhstan,2.0933333333333333
25,Kyrgyzstan,1795.1201884446834,25,Kyrgyzstan,1.2371428571428575
26,Latvia,417.0648040484655,26,Latvia,3.4449999999999994
27,Lithuania,822.4614455057716,27,Lithuania,4.873333333333333
28,Luxembourg,89.79283086106147,28,Luxembourg,5.4898305084745775
29,Malta,38.0570592746288,29,Malta,2.6762711864406783
30,Montenegro,44.23669308779246,31,Montenegro,6.071428571428571
31,Netherlands,1607.7865406368426,32,Netherlands,5.008474576271187
32,North Macedonia,189.89096087349125,33,North Macedonia,3.035714285714286
33,Norway,351.0006054405718,34,Norway,3.2050847457627127
34,Poland,7250.476971297372,35,Poland,3.732203389830509
35,Portugal,2632.059817485439,36,Portugal,3.1762711864406783
36,Romania,10589.201447504072,38,Romania,3.6000000000000005
37,Serbia,1425.9878157735727,41,Serbia,5.205
38,Slovakia,1571.6800960825367,42,Slovakia,6.379661016949152
39,Slovenia,694.7936563642702,43,Slovenia,5.510256410256409
40,Spain,8773.406929129615,44,Spain,4.343103448275864
41,Sweden,942.7083944107441,45,Sweden,3.786440677966101
42,Switzerland,897.2805039131026,46,Switzerland,4.70925925925926
43,Tajikistan,1151.4729362893916,47,Tajikistan,1.8785714285714288
44,Turkey,4187.934545917272,48,Turkey,1.345762711864405
45,Turkmenistan,1525.6195649482531,49,Turkmenistan,2.0500000000000007
46,Ukraine,16634.277315423715,50,Ukraine,3.178048780487804
47,United Kingdom,7453.678128302133,51,United Kingdom,6.408474576271188
48,Uzbekistan,8149.8258364207095,52,Uzbekistan,2.2928571428571423
