,country,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Unnamed: 0,Unnamed: 0.1,beer mean
0,Albania,11.932293063022922,0,Albania,0.8672413793103451
1,Andorra,1.4244887516227818,1,Andorra,3.1050000000000004
2,Armenia,89.31148510945354,2,Armenia,0.3133333333333333
3,Austria,369.0104621776979,3,Austria,6.471666666666668
4,Azerbaijan,271.27907523813093,4,Azerbaijan,0.34999999999999976
5,Belarus,2580.928058914786,5,Belarus,1.9062500000000004
6,Belgium,388.6375086436556,6,Belgium,6.784210526315789
7,Bosnia and Herzegovina,216.45105913084,7,Bosnia and Herzegovina,2.8933333333333326
8,Bulgaria,154.32965500175277,8,Bulgaria,3.4315789473684206
9,Croatia,254.4036077658318,9,Croatia,4.5272727272727264
10,Cyprus,6.5345977148933745,10,Cyprus,2.7423728813559323
11,Czechia,378.1357742569904,11,Czechia,7.210169491525423
12,Denmark,645.4416201428376,12,Denmark,6.2152542372881365
13,Estonia,291.02252730725496,13,Estonia,4.6800000000000015
14,Finland,586.9473155407283,14,Finland,3.715254237288135
15,France,3352.950943601312,15,France,2.725423728813559
16,Georgia,81.5033296073697,16,Georgia,1.2733333333333334
17,Germany,5968.0742904375065,17,Germany,7.837288135593218
18,Greece,35.33561838106592,18,Greece,2.464912280701755
19,Hungary,800.6200470628958,19,Hungary,4.738983050847458
20,Iceland,6.547261486681472,20,Iceland,2.371186440677966
21,Ireland,86.43098683487284,21,Ireland,7.664912280701755
22,Israel,63.489072760696956,22,Israel,1.4576271186440664
23,Italy,386.3293161151901,23,Italy,1.666101694915255
24,Kazakhstan,1256.3882887831485,24,Kazakhstan,2.0933333333333333
25,Kyrgyzstan,451.62536730131967,25,Kyrgyzstan,1.2371428571428575
26,Latvia,385.66319472282896,26,Latvia,3.4449999999999994
27,Lithuania,631.125691457775,27,Lithuania,4.873333333333333
28,Luxembourg,21.09919735779968,28,Luxembourg,5.4898305084745775
29,Malta,3.2228522264757737,29,Malta,2.6762711864406783
30,Montenegro,11.92029027079434,31,Montenegro,6.071428571428571
31,Netherlands,337.7406882596088,32,Netherlands,5.008474576271187
32,North Macedonia,20.959726470555502,33,North Macedonia,3.035714285714286
33,Norway,262.172896819583,34,Norway,3.2050847457627127
34,Poland,3747.0477669601178,35,Poland,3.732203389830509
35,Portugal,249.7930142035595,36,Portugal,3.1762711864406783
36,Romania,1157.0343245151387,38,Romania,3.6000000000000005
37,Serbia,420.3390217241719,41,Serbia,5.205
38,Slovakia,184.81288444300645,42,Slovakia,6.379661016949152
39,Slovenia,144.845825115279,43,Slovenia,5.510256410256409
40,Spain,429.77139927536973,44,Spain,4.343103448275864
41,Sweden,445.0803552755874,45,Sweden,3.786440677966101
42,Switzerland,266.8062378894875,46,Switzerland,4.70925925925926
43,Tajikistan,172.42649151583853,47,Tajikistan,1.8785714285714288
44,Turkey,228.80295191861592,48,Turkey,1.345762711864405
45,Turkmenistan,177.02901180509915,49,Turkmenistan,2.0500000000000007
46,Ukraine,10664.066216204334,50,Ukraine,3.178048780487804
47,United Kingdom,1591.5783010842115,51,United Kingdom,6.408474576271188
48,Uzbekistan,551.1431085417297,52,Uzbekistan,2.2928571428571423
