,country,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Unnamed: 0,Unnamed: 0.1,Pure alcohol mean
0,Albania,259.98379621264456,0,Albania,2.6327586206896547
1,Andorra,9.091886124624033,1,Andorra,10.575
2,Armenia,759.8671984503578,2,Armenia,3.386666666666668
3,Austria,2062.8540298359303,3,Austria,12.57666666666667
4,Azerbaijan,2483.134412053207,4,Azerbaijan,1.8700000000000003
5,Belarus,2080.992602302997,5,Belarus,10.929999999999994
6,Belgium,1824.273874510568,6,Belgium,11.57017543859649
7,Bosnia and Herzegovina,659.2378407456163,7,Bosnia and Herzegovina,6.403333333333332
8,Bulgaria,1958.3273574373536,8,Bulgaria,10.031578947368414
9,Croatia,1454.5359879972023,9,Croatia,11.706060606060605
10,Cyprus,106.9771387722947,10,Cyprus,8.123728813559321
11,Czechia,2143.0365954987483,11,Czechia,12.854237288135595
12,Denmark,985.2574329475805,12,Denmark,10.58813559322034
13,Estonia,276.07536048079976,13,Estonia,12.643333333333334
14,Finland,952.2073336125673,14,Finland,7.938983050847456
15,France,11564.935032177656,15,France,16.764406779661016
16,Georgia,1283.4486965615565,16,Georgia,5.466666666666668
17,Germany,20856.492739862857,17,Germany,13.67627118644068
18,Greece,1340.3775108987213,18,Greece,9.750877192982452
19,Hungary,5548.818307904178,19,Hungary,13.132203389830511
20,Iceland,13.837610613795006,20,Iceland,5.752542372881358
21,Ireland,304.58680794897583,21,Ireland,12.014035087719298
22,Israel,572.9123874707807,22,Israel,3.4338983050847456
23,Italy,13556.155322680037,23,Italy,12.94745762711865
24,Kazakhstan,4663.767258072073,24,Kazakhstan,6.126666666666668
25,Kyrgyzstan,1795.1201884446834,25,Kyrgyzstan,5.328571428571427
26,Latvia,417.0648040484655,26,Latvia,9.977500000000003
27,Lithuania,822.4614455057716,27,Lithuania,10.708333333333336
28,Luxembourg,89.79283086106147,28,Luxembourg,15.354237288135595
29,Malta,38.0570592746288,29,Malta,5.959322033898302
30,Montenegro,44.23669308779246,31,Montenegro,10.992857142857144
31,Netherlands,1607.7865406368426,32,Netherlands,9.488135593220342
32,North Macedonia,189.89096087349125,33,North Macedonia,5.621428571428572
33,Norway,351.0006054405718,34,Norway,5.83728813559322
34,Poland,7250.476971297372,35,Poland,9.298305084745763
35,Portugal,2632.059817485439,36,Portugal,14.503389830508475
36,Romania,10589.201447504072,38,Romania,9.898305084745763
37,Serbia,1425.9878157735727,41,Serbia,9.71
38,Slovakia,1571.6800960825367,42,Slovakia,12.644067796610171
39,Slovenia,694.7936563642702,43,Slovenia,13.73846153846154
40,Spain,8773.406929129615,44,Spain,13.772413793103444
41,Sweden,942.7083944107441,45,Sweden,7.867796610169492
42,Switzerland,897.2805039131026,46,Switzerland,13.027777777777779
43,Tajikistan,1151.4729362893916,47,Tajikistan,2.5464285714285717
44,Turkey,4187.934545917272,48,Turkey,1.8949152542372891
45,Turkmenistan,1525.6195649482531,49,Turkmenistan,4.0285714285714285
46,Ukraine,16634.277315423715,50,Ukraine,7.3902439024390265
47,United Kingdom,7453.678128302133,51,United Kingdom,10.442372881355931
48,Uzbekistan,8149.8258364207095,52,Uzbekistan,3.646428571428572
