,country,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Unnamed: 0,Unnamed: 0.1,Spirit mean
0,Albania,259.98379621264456,0,Albania,1.1534482758620688
1,Andorra,9.091886124624033,1,Andorra,2.56
2,Armenia,759.8671984503578,2,Armenia,2.6466666666666674
3,Austria,2062.8540298359303,3,Austria,1.8099999999999996
4,Azerbaijan,2483.134412053207,4,Azerbaijan,1.2899999999999998
5,Belarus,2080.992602302997,5,Belarus,5.640624999999999
6,Belgium,1824.273874510568,6,Belgium,1.8614035087719292
7,Bosnia and Herzegovina,659.2378407456163,7,Bosnia and Herzegovina,3.2433333333333327
8,Bulgaria,1958.3273574373536,8,Bulgaria,4.003508771929825
9,Croatia,1454.5359879972023,9,Croatia,2.1
10,Cyprus,106.9771387722947,10,Cyprus,3.4898305084745753
11,Czechia,2143.0365954987483,11,Czechia,3.630508474576272
12,Denmark,985.2574329475805,12,Denmark,1.7915254237288134
13,Estonia,276.07536048079976,13,Estonia,6.11
14,Finland,952.2073336125673,14,Finland,1.7491525423728822
15,France,11564.935032177656,15,France,3.0593220338983054
16,Georgia,1283.4486965615565,16,Georgia,2.126666666666667
17,Germany,20856.492739862857,17,Germany,3.098305084745764
18,Greece,1340.3775108987213,18,Greece,3.1631578947368424
19,Hungary,5548.818307904178,19,Hungary,4.501694915254238
20,Iceland,13.837610613795006,20,Iceland,2.679661016949153
21,Ireland,304.58680794897583,21,Ireland,2.6666666666666665
22,Israel,572.9123874707807,22,Israel,1.5271186440677968
23,Italy,13556.155322680037,23,Italy,1.8542372881355933
24,Kazakhstan,4663.767258072073,24,Kazakhstan,4.579999999999999
25,Kyrgyzstan,1795.1201884446834,25,Kyrgyzstan,4.5257142857142885
26,Latvia,417.0648040484655,26,Latvia,5.432500000000001
27,Lithuania,822.4614455057716,27,Lithuania,4.966666666666667
28,Luxembourg,89.79283086106147,28,Luxembourg,3.279661016949152
29,Malta,38.0570592746288,29,Malta,2.261016949152542
30,Montenegro,44.23669308779246,31,Montenegro,4.6
31,Netherlands,1607.7865406368426,32,Netherlands,2.87457627118644
32,North Macedonia,189.89096087349125,33,North Macedonia,2.6214285714285697
33,Norway,351.0006054405718,34,Norway,2.0830508474576264
34,Poland,7250.476971297372,35,Poland,5.02542372881356
35,Portugal,2632.059817485439,36,Portugal,1.5644067796610177
36,Romania,10589.201447504072,38,Romania,3.0355932203389817
37,Serbia,1425.9878157735727,41,Serbia,4.299999999999998
38,Slovakia,1571.6800960825367,42,Slovakia,4.6254237288135585
39,Slovenia,694.7936563642702,43,Slovenia,2.976923076923077
40,Spain,8773.406929129615,44,Spain,3.9568965517241366
41,Sweden,942.7083944107441,45,Sweden,2.9661016949152543
42,Switzerland,897.2805039131026,46,Switzerland,2.9981481481481493
43,Tajikistan,1151.4729362893916,47,Tajikistan,2.1785714285714284
44,Turkey,4187.934545917272,48,Turkey,1.2491525423728809
45,Turkmenistan,1525.6195649482531,49,Turkmenistan,2.6714285714285704
46,Ukraine,16634.277315423715,50,Ukraine,4.621951219512196
47,United Kingdom,7453.678128302133,51,United Kingdom,2.7305084745762698
48,Uzbekistan,8149.8258364207095,52,Uzbekistan,2.957142857142857
