,country,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Unnamed: 0,Unnamed: 0.1,Spirit mean
0,Albania,11.932293063022922,0,Albania,1.1534482758620688
1,Andorra,1.4244887516227818,1,Andorra,2.56
2,Armenia,89.31148510945354,2,Armenia,2.6466666666666674
3,Austria,369.0104621776979,3,Austria,1.8099999999999996
4,Azerbaijan,271.27907523813093,4,Azerbaijan,1.2899999999999998
5,Belarus,2580.928058914786,5,Belarus,5.640624999999999
6,Belgium,388.6375086436556,6,Belgium,1.8614035087719292
7,Bosnia and Herzegovina,216.45105913084,7,Bosnia and Herzegovina,3.2433333333333327
8,Bulgaria,154.32965500175277,8,Bulgaria,4.003508771929825
9,Croatia,254.4036077658318,9,Croatia,2.1
10,Cyprus,6.5345977148933745,10,Cyprus,3.4898305084745753
11,Czechia,378.1357742569904,11,Czechia,3.630508474576272
12,Denmark,645.4416201428376,12,Denmark,1.7915254237288134
13,Estonia,291.02252730725496,13,Estonia,6.11
14,Finland,586.9473155407283,14,Finland,1.7491525423728822
15,France,3352.950943601312,15,France,3.0593220338983054
16,Georgia,81.5033296073697,16,Georgia,2.126666666666667
17,Germany,5968.0742904375065,17,Germany,3.098305084745764
18,Greece,35.33561838106592,18,Greece,3.1631578947368424
19,Hungary,800.6200470628958,19,Hungary,4.501694915254238
20,Iceland,6.547261486681472,20,Iceland,2.679661016949153
21,Ireland,86.43098683487284,21,Ireland,2.6666666666666665
22,Israel,63.489072760696956,22,Israel,1.5271186440677968
23,Italy,386.3293161151901,23,Italy,1.8542372881355933
24,Kazakhstan,1256.3882887831485,24,Kazakhstan,4.579999999999999
25,Kyrgyzstan,451.62536730131967,25,Kyrgyzstan,4.5257142857142885
26,Latvia,385.66319472282896,26,Latvia,5.432500000000001
27,Lithuania,631.125691457775,27,Lithuania,4.966666666666667
28,Luxembourg,21.09919735779968,28,Luxembourg,3.279661016949152
29,Malta,3.2228522264757737,29,Malta,2.261016949152542
30,Montenegro,11.92029027079434,31,Montenegro,4.6
31,Netherlands,337.7406882596088,32,Netherlands,2.87457627118644
32,North Macedonia,20.959726470555502,33,North Macedonia,2.6214285714285697
33,Norway,262.172896819583,34,Norway,2.0830508474576264
34,Poland,3747.0477669601178,35,Poland,5.02542372881356
35,Portugal,249.7930142035595,36,Portugal,1.5644067796610177
36,Romania,1157.0343245151387,38,Romania,3.0355932203389817
37,Serbia,420.3390217241719,41,Serbia,4.299999999999998
38,Slovakia,184.81288444300645,42,Slovakia,4.6254237288135585
39,Slovenia,144.845825115279,43,Slovenia,2.976923076923077
40,Spain,429.77139927536973,44,Spain,3.9568965517241366
41,Sweden,445.0803552755874,45,Sweden,2.9661016949152543
42,Switzerland,266.8062378894875,46,Switzerland,2.9981481481481493
43,Tajikistan,172.42649151583853,47,Tajikistan,2.1785714285714284
44,Turkey,228.80295191861592,48,Turkey,1.2491525423728809
45,Turkmenistan,177.02901180509915,49,Turkmenistan,2.6714285714285704
46,Ukraine,10664.066216204334,50,Ukraine,4.621951219512196
47,United Kingdom,1591.5783010842115,51,United Kingdom,2.7305084745762698
48,Uzbekistan,551.1431085417297,52,Uzbekistan,2.957142857142857
