,country,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Unnamed: 0,Unnamed: 0.1,Wine mean
0,Albania,11.932293063022922,0,Albania,0.5965517241379309
1,Andorra,1.4244887516227818,1,Andorra,4.85
2,Armenia,89.31148510945354,2,Armenia,0.5633333333333334
3,Austria,369.0104621776979,3,Austria,4.405
4,Azerbaijan,271.27907523813093,4,Azerbaijan,0.5199999999999999
5,Belarus,2580.928058914786,5,Belarus,0.7812499999999999
6,Belgium,388.6375086436556,6,Belgium,3.0929824561403523
7,Bosnia and Herzegovina,216.45105913084,7,Bosnia and Herzegovina,0.6466666666666667
8,Bulgaria,154.32965500175277,8,Bulgaria,2.8438596491228068
9,Croatia,254.4036077658318,9,Croatia,5.424242424242424
10,Cyprus,6.5345977148933745,10,Cyprus,2.22542372881356
11,Czechia,378.1357742569904,11,Czechia,2.3999999999999995
12,Denmark,645.4416201428376,12,Denmark,2.986440677966101
13,Estonia,291.02252730725496,13,Estonia,1.6266666666666665
14,Finland,586.9473155407283,14,Finland,1.3949152542372885
15,France,3352.950943601312,15,France,11.330508474576273
16,Georgia,81.5033296073697,16,Georgia,3.136666666666668
17,Germany,5968.0742904375065,17,Germany,3.355932203389832
18,Greece,35.33561838106592,18,Greece,4.6912280701754385
19,Hungary,800.6200470628958,19,Hungary,4.5474576271186455
20,Iceland,6.547261486681472,20,Iceland,1.394915254237288
21,Ireland,86.43098683487284,21,Ireland,1.7122807017543855
22,Israel,63.489072760696956,22,Israel,1.0813559322033903
23,Italy,386.3293161151901,23,Italy,10.198305084745764
24,Kazakhstan,1256.3882887831485,24,Kazakhstan,1.0600000000000005
25,Kyrgyzstan,451.62536730131967,25,Kyrgyzstan,0.997142857142858
26,Latvia,385.66319472282896,26,Latvia,2.1
27,Lithuania,631.125691457775,27,Lithuania,2.06
28,Luxembourg,21.09919735779968,28,Luxembourg,7.554237288135595
29,Malta,3.2228522264757737,29,Malta,1.8915254237288133
30,Montenegro,11.92029027079434,31,Montenegro,4.621428571428573
31,Netherlands,337.7406882596088,32,Netherlands,2.6932203389830502
32,North Macedonia,20.959726470555502,33,North Macedonia,2.3142857142857145
33,Norway,262.172896819583,34,Norway,1.6779661016949157
34,Poland,3747.0477669601178,35,Poland,1.7288135593220335
35,Portugal,249.7930142035595,36,Portugal,10.72372881355932
36,Romania,1157.0343245151387,38,Romania,4.428813559322036
37,Serbia,420.3390217241719,41,Serbia,4.165000000000001
38,Slovakia,184.81288444300645,42,Slovakia,2.9322033898305087
39,Slovenia,144.845825115279,43,Slovenia,7.348717948717949
40,Spain,429.77139927536973,44,Spain,6.962068965517242
41,Sweden,445.0803552755874,45,Sweden,2.605084745762712
42,Switzerland,266.8062378894875,46,Switzerland,6.7703703703703715
43,Tajikistan,172.42649151583853,47,Tajikistan,1.8392857142857153
44,Turkey,228.80295191861592,48,Turkey,0.937288135593222
45,Turkmenistan,177.02901180509915,49,Turkmenistan,2.8214285714285707
46,Ukraine,10664.066216204334,50,Ukraine,2.009756097560976
47,United Kingdom,1591.5783010842115,51,United Kingdom,2.6932203389830542
48,Uzbekistan,551.1431085417297,52,Uzbekistan,2.1214285714285723
